job_title,Company_name,location,post,salary,level,experience,skills
Business Analyst - Chuyên Gia Phân Tích Nghiệp Vụ Hệ Thống CLIMS,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Tester,Business Analyst,Analyst"
,,,,,,,
Business Analyst (Korean speaking),Megazone Vietnam Company Limited,"Quận Ba Đình, Hà Nội",,,Senior,,"Business Analyst,IT Comtor,Korean"
Business Analyst,MenuWise,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"QA,Business Analyst"
SENIOR BUSINESS ANALYST,New Ocean IS,"Quận Tân Bình, Hồ Chí Minh",,,Senior,,"English,Business Analyst"
Chuyên viên Phân tích nghiệp vụ (BA),Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital),"Quận Nam Từ Liêm, Hà Nội",,,Middle,,Business Analyst
TRUNG TÂM ĐỔI MỚI SÁNG TẠO - BUSINESS ANALYST LEAD,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),"Quận Nam Từ Liêm, Hà Nội",,,Trưởng Nhóm,,Business Analyst
BUSINESS ANALYST,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,"Quận Đống Đa, Hà Nội",,,Senior,,"MySQL,Data Analytics,Business Analyst"
HN - Business Analyst (CLIMS) TS052303-BAHN,Talent Success, Hà Nội,,,"Trưởng Nhóm, Middle, Senior",,Business Analyst
Kỹ sư giải pháp nghiệp vụ  (Senior/Leader Software Engineer),Viettel Solutions,"Quận Nam Từ Liêm, Hà Nội",,,"Trưởng Nhóm, Senior",,"UML,Business Analyst,System Architect"
CBA (IT Comtor & Business Analyst),OneTech Asia,"Quận Tân Bình, Hồ Chí Minh",,,"Middle, Senior",,"Business Analyst,IT Comtor"
IT Business Analyst,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ JU YOU,"Quận Bình Thạnh, Hồ Chí Minh",,,Senior,,"Business Analyst,Axure Rp"
Salesforce Developer,Megazone Vietnam Company Limited,"Quận Ba Đình, Hà Nội",,,"Middle, Senior",,"JavaScript,HTML & CSS,Salesforce"
05 PHP Developers,CÔNG TY TNHH CYLLENGE VIỆT NAM,"Quận Tân Bình, Hồ Chí Minh",,,"Junior, Middle",,"PHP,JavaScript,HTML & CSS"
Frontend Software Engineer (.Net/ Angular/HTML),"Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,"Middle, Senior",,".NET,HTML & CSS,Angular"
"FRONT-END DEVELOPER - UI (HTML, CSS, JavaScript)",Chi Thanh Technology,"Quận Tân Bình, Hồ Chí Minh",,,"Junior, Middle",,"JavaScript,Front-End,HTML & CSS"
FRONT-END DEVELOPER,CA Advance,"Quận 3, Hồ Chí Minh",,,"Junior, Middle",,"CSS,JavaScript,HTML,Front-End,ReactJS"
,,,,,,,
"Middle Full-Stack Developer (PHP, JavaScript, CSS, HTML)",Atech,"Quận 3, Hồ Chí Minh",,,Middle,,"PHP,JavaScript,HTML & CSS"
"Front-End Developer (ReactJS, VueJS, HTML)",LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"JavaScript,JQuery,HTML,ReactJS,VueJS"
Fullstack Engineer  (フルスタックエンジニア),FAVOLIST5 ASIA,"Thành phố Thủ Đức, Hồ Chí Minh",,,"Middle, Senior",,"JavaScript,NodeJS,VueJS"
"CVC/ CVCC Fullstack Engineer (Java, Springboot) - TNEX Finance - 4B005",Tập đoàn ROX (ROX Group),"Quận Đống Đa, Hà Nội",,,Senior,,"Java,Spring,VueJS"
Full-Stack Developer [Junior/Middle],SALESCORE,"Quận Bình Thạnh, Hồ Chí Minh",,,"Junior, Middle",,"NodeJS,VueJS,.NET Core"
HCM-Senior Fullstack Developer (NodeJS + ReactJS/VueJS)_TS041602-SrFullstackJS,Talent Success, Hồ Chí Minh,,,"Middle, Senior",,"NodeJS,ReactJS,VueJS"
,,,,,,,
Frond-end Developer,White Sand Group, Oversea,,,"Middle, Senior",,"JavaScript,Front-End,VueJS"
Salesforce Developer,Megazone Vietnam Company Limited,"Quận Ba Đình, Hà Nội",,,"Middle, Senior",,"JavaScript,HTML & CSS,Salesforce"
"Lập trình viên Frontend và Mobile app (Nuxt, hybrid Apps) tối thiểu 3 năm kinh nghiệm",hearme,"Quận Hoàn Kiếm, Hà Nội",,,"Middle, Senior",,"Front-End,VueJS,NuxtJS"
Full-stack Developer,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ JU YOU,"Quận Bình Thạnh, Hồ Chí Minh",,,Senior,,"Java,Full-Stack,VueJS"
Sr. Full Stack Web Developer For Long-Term Contract,Wise Commerce,"Quận Thanh Xuân, Hà Nội",,,Senior,,"Magento,VueJS,Shopify"
Mobile Developer (Front End Developer),CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,"Quận Cầu Giấy, Hà Nội",,,Senior,,"Front-End,ReactJS,VueJS"
Hanoi-Senior Salesforce Developer_TS040402SrSF,Talent Success, Hà Nội,,,Senior,,Salesforce
,,,,,,,
"Backend Developer (Java, Python, NodeJS)",Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Oracle,Java,Python,NodeJS,PostgreSql"
"Senior Python Data Engineer (Databricks,  Delta Lake)",International Centre for Trade Transparency Limited, Hồ Chí Minh,,,Senior,,"Python,Data Engineer,PostgreSql"
"Backend Software Engineer (C#, .Net, PostgreSQL)","Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,"Middle, Senior",,"C#,.NET,PostgreSql"
PostgreSql Database Architect / Administrator,"Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,Middle,,"Database,Database Administrator,PostgreSql"
[Khối Ngân hàng số] Data Engineer,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,Senior,,"Python,Scala,Data Engineer,PostgreSql,Data Warehouse"
,,,,,,,
Data Engineer (DBA),LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle, Senior",,"Oracle,SQL,Database,Data Engineer,Database Administrator"
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Tester,Database,Automation Tester,Manual Test,Mobile Tester"
MIDDLE .NET DEVELOPER,INFOPLUS,"Quận Nam Từ Liêm, Hà Nội",,,Middle,,"C#,.NET,ERP,SQL Server,Database"
SOC Analyst (Tier 3) - CS01,FPT IS,"Quận Nam Từ Liêm, Hà Nội",,,Senior,,"Database,Data Analyst"
Senior System Engineer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,"Quận Cầu Giấy, Hà Nội",,,"Middle, Senior",,"Linux,Database Administrator,Windows"
,,,,,,,
PostgreSql Database Architect / Administrator,"Motorola Solutions, VietNam R&D Center","Thành phố Thủ Đức, Hồ Chí Minh",,,Middle,,"Database,Database Administrator,PostgreSql"
Quản trị cơ sở dữ liệu (DBA),Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital),"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"Oracle,SQL,MariaDB"
Business Analyst,Public Bank Vietnam (PBVN),"Quận Hoàn Kiếm, Hà Nội",,,"Middle, Senior",,"Business Analyst,Oracle Database,Oracle SQL"
Technical Lead (Java),CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT,"Quận Thanh Xuân, Hà Nội",,,"Trưởng phòng, Trưởng Nhóm, Senior",,"Java,Spring,Database,Technical Leader,Java EE"
[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Tester,Database,Automation Tester,Manual Test,Mobile Tester"
